scene_id,gt_object_id,gt_category,class_id,gt_room_id,predicted_room_id,gt_x,gt_y,gt_z,observed_in_walk,assigned
00824-Dd4bFSTQ8gi,7,rug,383,0,0_6,7.519546218680345,-0.10901631968238709,-4.923280942162412,1,1
00824-Dd4bFSTQ8gi,8,sofa,431,0,0_6,7.355663462513011,0.3443190368316138,-6.55118808371542,1,1
00824-Dd4bFSTQ8gi,9,sofa,431,0,0_6,9.359740166035593,0.37802899670734164,-4.6757750191981735,1,1
00824-Dd4bFSTQ8gi,10,chair,97,0,0_6,5.787342936730064,0.34184398475234684,-4.209499642042149,1,1
00824-Dd4bFSTQ8gi,11,chair,97,0,0_6,5.792190115115402,0.326820174651925,-5.558845803936925,1,1
00824-Dd4bFSTQ8gi,12,fireplace,183,0,0_6,9.247583840817374,0.6024816733145396,-2.1126282270027312,1,1
00824-Dd4bFSTQ8gi,15,shelf,405,0,0_6,8.61483634506372,0.31658207570616115,-1.6439644483572795,1,1
00824-Dd4bFSTQ8gi,16,shelf,405,0,0_6,9.045774210110663,0.7722052040201449,-1.6485560610604546,1,1
00824-Dd4bFSTQ8gi,17,shelf,405,0,0_6,9.774552544237615,0.19003497266598662,-2.595091983580748,1,1
00824-Dd4bFSTQ8gi,18,podium,350,0,0_6,9.117794052491787,-0.08203255547393712,-2.3091315973832063,1,1
00824-Dd4bFSTQ8gi,19,decoration,139,0,0_6,9.867846982856426,1.195425391484856,-2.627400381169206,1,1
00824-Dd4bFSTQ8gi,20,vase,519,0,0_6,8.537643205492586,1.3926411245637407,-1.5594080493806373,1,1
00824-Dd4bFSTQ8gi,21,vase,519,0,0_6,9.387572623298976,0.5801612148868722,-6.6333830550357735,1,1
00824-Dd4bFSTQ8gi,22,vase,519,0,0_6,7.568350296868905,0.5310400052564561,-4.953233032767374,1,1
00824-Dd4bFSTQ8gi,23,plant,342,0,0_6,6.114355520986309,0.5439114239113,-6.89090256123448,1,1
00824-Dd4bFSTQ8gi,24,book,48,0,0_6,6.290445869215924,0.4579599922689665,-6.634692700180163,1,1
00824-Dd4bFSTQ8gi,25,artwork,13,0,0_6,7.480089730676421,1.423854326570838,-7.169460327047643,1,1
00824-Dd4bFSTQ8gi,26,light,282,0,0_6,9.511296236945334,0.5610059152187306,-3.7156994525043014,1,1
00824-Dd4bFSTQ8gi,28,decoration,139,0,0_6,5.787170738347327,0.874085730867702,-1.3410481488763106,1,1
00824-Dd4bFSTQ8gi,29,decoration,139,0,0_5,5.559818348647335,0.7175740888584229,-1.3109227592267159,1,1
00824-Dd4bFSTQ8gi,30,decoration,139,0,0_6,6.060241697571244,0.7289937844746069,-1.3539342618817531,1,1
00824-Dd4bFSTQ8gi,31,book,48,0,0_6,6.027514044236765,1.6852544634376778,-1.3435888804865204,1,1
00824-Dd4bFSTQ8gi,32,decoration,139,0,0_6,5.779775745806016,1.657444235362961,-1.3179471311833042,1,1
00824-Dd4bFSTQ8gi,33,table,464,0,0_6,7.235006784325562,0.34302979625883967,-5.002606328217725,1,1
00824-Dd4bFSTQ8gi,34,podium,350,0,0_6,5.760162804374094,-0.07881442361335067,-1.9496316809657237,1,1
00824-Dd4bFSTQ8gi,37,light,282,0,,5.285611261129144,2.0341045887291878,-2.5140296596181124,1,0
00824-Dd4bFSTQ8gi,52,fan,180,0,0_6,6.123340008808994,2.109457577808914,-4.746355639761969,1,1
00824-Dd4bFSTQ8gi,53,pillow,337,0,0_6,9.446240859731006,0.5803144581955696,-5.149539935333474,1,1
00824-Dd4bFSTQ8gi,54,pillow,337,0,0_6,9.485948174161237,0.5635986336721622,-4.71394550672325,1,1
00824-Dd4bFSTQ8gi,55,pillow,337,0,0_6,9.509227774205968,0.5685733771111742,-4.40137899844352,1,1
00824-Dd4bFSTQ8gi,56,pillow,337,0,0_6,9.455756570681698,0.5790529042285498,-5.440991176705782,1,1
00824-Dd4bFSTQ8gi,57,pillow,337,0,0_6,7.227492516531757,0.5639688709144735,-6.659363981184143,1,1
00824-Dd4bFSTQ8gi,58,pillow,337,0,0_6,6.916349007840628,0.5456338154911192,-6.707809878838958,1,1
00824-Dd4bFSTQ8gi,59,pillow,337,0,0_6,6.75088525920057,0.5206991933005058,-6.5854649728809544,1,1
00824-Dd4bFSTQ8gi,60,pillow,337,0,0_6,7.624661697628172,0.5059636475050323,-6.770360027588673,1,1
00824-Dd4bFSTQ8gi,61,pillow,337,0,0_6,7.963946288504893,0.5580492253609068,-6.679637120607497,1,1
00824-Dd4bFSTQ8gi,62,blanket,44,0,0_6,8.400733688757652,0.4692204391313822,-6.541325267736208,1,1
00824-Dd4bFSTQ8gi,63,light,282,0,0_6,7.558507151752888,2.1691356291952495,-4.535801041669282,1,1
00824-Dd4bFSTQ8gi,64,light,282,0,0_6,8.19689400687605,2.149071063512443,-4.534659194312737,1,1
00824-Dd4bFSTQ8gi,65,light,282,0,0_6,7.513424356912865,2.182371514734982,-2.869924668006686,1,1
00824-Dd4bFSTQ8gi,66,light,282,0,0_6,8.30338370018455,2.147433571652153,-2.8603656478859634,1,1
00824-Dd4bFSTQ8gi,67,light,282,0,0_6,7.567228230860044,2.1919409834388066,-6.222245036073752,1,1
00824-Dd4bFSTQ8gi,68,light,282,0,0_6,8.264201697972544,2.1733884778058132,-6.226717833380898,1,1
00824-Dd4bFSTQ8gi,73,mirror,302,0,,5.245286051105116,1.443892173261196,-4.855249253862789,1,0
00824-Dd4bFSTQ8gi,87,artwork,13,1,,5.264102746083523,1.3857849979295325,0.1151568135351589,1,0
00824-Dd4bFSTQ8gi,88,artwork,13,1,0_5,8.0805175479951,1.4343531276731134,3.40366689378591,1,1
00824-Dd4bFSTQ8gi,90,plant,342,1,0_5,5.691729737075365,0.7971065645787233,-0.7497220435198803,1,1
00824-Dd4bFSTQ8gi,92,podium,350,1,0_5,6.808577479725086,-0.05988206502397621,-0.6478318472238875,1,1
00824-Dd4bFSTQ8gi,93,light,282,1,0_6,8.4190829207807,1.9380405719025176,-1.170575608669931,1,1
00824-Dd4bFSTQ8gi,94,light,282,1,0_5,5.786156442084198,2.1912566954752015,1.3387276192575832,1,1
00824-Dd4bFSTQ8gi,95,table,464,1,0_5,7.784103725807924,0.5297128380632221,1.3273866433575634,1,1
00824-Dd4bFSTQ8gi,96,vase,519,1,0_5,7.853754610922945,1.1823417470184936,1.2713335304128333,1,1
00824-Dd4bFSTQ8gi,97,chair,97,1,0_5,7.873166695287704,0.5820238896107468,0.3017068131074752,1,1
00824-Dd4bFSTQ8gi,98,chair,97,1,0_5,7.874274041779241,0.5544772597566158,2.3297025013200714,1,1
00824-Dd4bFSTQ8gi,99,chair,97,1,0_5,7.329810232946611,0.5829846088752156,1.598689134806261,1,1
00824-Dd4bFSTQ8gi,100,chair,97,1,0_5,7.349413223032756,0.5689822931253644,1.0307734483680282,1,1
00824-Dd4bFSTQ8gi,101,chair,97,1,0_5,8.424448178145255,0.6708532825013616,0.992325204056855,1,1
00824-Dd4bFSTQ8gi,102,chair,97,1,0_5,8.362363949617325,0.60212538099678,1.6215164569802074,1,1
00824-Dd4bFSTQ8gi,103,dinnerware,144,1,0_5,7.826599666382689,0.7839118852920566,1.9841382700946755,1,1
00824-Dd4bFSTQ8gi,104,dinnerware,144,1,0_5,8.13561424784211,0.7766663532586509,1.5888211301593298,1,1
00824-Dd4bFSTQ8gi,105,dinnerware,144,1,0_5,8.195748285130286,0.7770404228802718,1.053173957967479,1,1
00824-Dd4bFSTQ8gi,106,dinnerware,144,1,0_5,7.915420371716,0.7779621432524279,0.6749606709749703,1,1
00824-Dd4bFSTQ8gi,107,dinnerware,144,1,0_5,7.5560681650704336,0.783176262244407,1.0670471704974738,1,1
00824-Dd4bFSTQ8gi,108,dinnerware,144,1,0_5,7.529611326034686,0.7892453391716947,1.5462115824253564,1,1
00824-Dd4bFSTQ8gi,109,rug,383,2,0_3,7.234177197403248,0.010793320235816008,5.623976567338816,1,1
00824-Dd4bFSTQ8gi,125,decoration,139,2,0_3,9.395125649643566,1.5089134530168462,4.775127622665133,1,1
00824-Dd4bFSTQ8gi,126,decoration,139,2,0_3,7.463952737321533,1.517743816787889,7.594406724533856,1,1
00824-Dd4bFSTQ8gi,127,light,282,2,0_3,7.170099018542019,1.9688381692029098,7.538702709736949,1,1
00824-Dd4bFSTQ8gi,130,mirror,302,2,0_1,5.2247599856824225,1.4805717402924166,5.82149980435135,1,1
00824-Dd4bFSTQ8gi,131,mirror,302,2,0_3,9.41245388341644,1.2261063225268902,6.938267340430557,1,1
00824-Dd4bFSTQ8gi,132,decoration,139,2,0_1,5.459336635189894,0.6489308573533573,7.3847512370228365,1,1
00824-Dd4bFSTQ8gi,133,chair,97,2,0_3,5.736098415429812,0.45779247013714003,6.275347304434814,1,1
00824-Dd4bFSTQ8gi,134,chair,97,2,0_3,5.664050821248758,0.40949016042819836,5.307820456134624,1,1
00824-Dd4bFSTQ8gi,135,desk,142,2,0_3,8.19710144215548,0.6399627076824488,5.906533472995666,1,1
00824-Dd4bFSTQ8gi,136,chair,97,2,0_3,8.469321357747225,0.5358573461485248,6.437894255536808,1,1
00824-Dd4bFSTQ8gi,137,plant,342,2,0_3,7.829964013647876,1.0625653113326197,6.436483010079212,1,1
00824-Dd4bFSTQ8gi,138,plant,342,2,0_3,8.176498564968856,0.8581046254580995,5.629207095502451,1,1
00824-Dd4bFSTQ8gi,139,book,48,2,0_3,8.199132407866035,0.7966638097667347,6.1067297482767335,1,1
00824-Dd4bFSTQ8gi,164,light,282,3,0_5,4.615806794749348,2.4637514511536054,-2.1035046219987867,1,1
00824-Dd4bFSTQ8gi,168,fan,180,3,0_5,2.5039999937063206,2.2432655897449867,1.5559872637612704,1,1
00824-Dd4bFSTQ8gi,169,artwork,13,3,0_5,3.1653484189091214,1.5564418217986253,3.4837518050812566,1,1
00824-Dd4bFSTQ8gi,170,artwork,13,3,,0.027612057032581537,1.500255227543187,2.0990674280826593,1,0
00824-Dd4bFSTQ8gi,171,sofa,431,3,0_5,3.1483613156557677,0.3641258496589471,2.8048803802792963,1,1
00824-Dd4bFSTQ8gi,172,table,464,3,0_5,0.25242002666403357,0.5041513125238221,2.0947253125737753,1,1
00824-Dd4bFSTQ8gi,173,table,464,3,0_5,1.7010814689035876,0.2596446582222357,3.0524291853021195,1,1
00824-Dd4bFSTQ8gi,174,table,464,3,0_5,3.2157126731724657,0.2886776302205772,1.8125612339051782,1,1
00824-Dd4bFSTQ8gi,175,rug,383,3,0_5,3.080330380496382,0.011328275753996768,1.8097458342553523,1,1
00824-Dd4bFSTQ8gi,176,stool,454,3,0_5,2.2014091887008336,0.6635561569642793,0.28267722025633074,1,1
00824-Dd4bFSTQ8gi,177,stool,454,3,0_5,3.1256644782258993,0.6472488239342769,0.29797320361342156,1,1
00824-Dd4bFSTQ8gi,178,refrigerator,374,3,,0.19757035998554143,1.9900897441300591,-2.3789117133209436,1,0
00824-Dd4bFSTQ8gi,179,refrigerator,374,3,,0.10374431845363839,0.9645683041310014,-2.326061830256013,1,0
00824-Dd4bFSTQ8gi,183,cabinet,64,3,,-0.8083345365096782,1.2452088229761058,-2.404201305339917,1,0
00824-Dd4bFSTQ8gi,184,cabinet,64,3,0_5,3.1640032401946034,0.6797750988581576,-2.5367175307632714,1,1
00824-Dd4bFSTQ8gi,185,sink,420,3,,3.5372957422792908,0.8309611828166827,-2.8193404313686243,1,0
00824-Dd4bFSTQ8gi,186,cabinet,64,3,0_5,2.3830422568439773,0.6028712374175037,-0.725045578510552,1,1
00824-Dd4bFSTQ8gi,187,countertop,126,3,,2.440570540508807,0.700065610029891,-0.06281137866361054,1,0
00824-Dd4bFSTQ8gi,188,cabinet,64,3,0_5,1.0849720001794811,0.5196425790551376,-0.5390376266720632,1,1
