scene_id,method,class_id,class_label,object_id,predicted_room_id,rank,score
00824-Dd4bFSTQ8gi,hovsg,0,acoustic panel,0_0_39,0_0,1,0.2850785172295204
00824-Dd4bFSTQ8gi,hovsg,0,acoustic panel,0_5_342,0_5,2,0.28081281517015033
00824-Dd4bFSTQ8gi,hovsg,0,acoustic panel,0_3_10,0_3,3,0.2763465345174081
00824-Dd4bFSTQ8gi,hovsg,0,acoustic panel,0_0_21,0_0,4,0.27210816089041096
00824-Dd4bFSTQ8gi,hovsg,0,acoustic panel,0_0_35,0_0,5,0.27136789710588977
00824-Dd4bFSTQ8gi,hovsg,1,air conditioner,0_0_68,0_0,1,0.2751032035934289
00824-Dd4bFSTQ8gi,hovsg,1,air conditioner,0_0_69,0_0,2,0.26892866137368365
00824-Dd4bFSTQ8gi,hovsg,1,air conditioner,0_0_3,0_0,3,0.26717181028574377
00824-Dd4bFSTQ8gi,hovsg,1,air conditioner,0_0_59,0_0,4,0.2600126312829653
00824-Dd4bFSTQ8gi,hovsg,1,air conditioner,0_0_74,0_0,5,0.25824223851810735
00824-Dd4bFSTQ8gi,hovsg,2,air freshener,0_2_20,0_2,1,0.2439897625609418
00824-Dd4bFSTQ8gi,hovsg,2,air freshener,0_1_35,0_1,2,0.2392426296861303
00824-Dd4bFSTQ8gi,hovsg,2,air freshener,0_6_76,0_6,3,0.23503941203986584
00824-Dd4bFSTQ8gi,hovsg,2,air freshener,0_5_141,0_5,4,0.23450552843751216
00824-Dd4bFSTQ8gi,hovsg,2,air freshener,0_1_52,0_1,5,0.23425917179620626
00824-Dd4bFSTQ8gi,hovsg,3,air hockey,0_1_59,0_1,1,0.2257027821733528
00824-Dd4bFSTQ8gi,hovsg,3,air hockey,0_3_47,0_3,2,0.22500050219894974
00824-Dd4bFSTQ8gi,hovsg,3,air hockey,0_5_358,0_5,3,0.22339693865767835
00824-Dd4bFSTQ8gi,hovsg,3,air hockey,0_0_45,0_0,4,0.22060050526528757
00824-Dd4bFSTQ8gi,hovsg,3,air hockey,0_2_150,0_2,5,0.21921616274170916
00824-Dd4bFSTQ8gi,hovsg,4,air purifier,0_5_141,0_5,1,0.2610343194440807
00824-Dd4bFSTQ8gi,hovsg,4,air purifier,0_1_35,0_1,2,0.2578838946246482
00824-Dd4bFSTQ8gi,hovsg,4,air purifier,0_5_400,0_5,3,0.25328838931584663
00824-Dd4bFSTQ8gi,hovsg,4,air purifier,0_5_76,0_5,4,0.24600589260704858
00824-Dd4bFSTQ8gi,hovsg,4,air purifier,0_6_76,0_6,5,0.24106433599349886
00824-Dd4bFSTQ8gi,hovsg,5,aisle frame,0_2_28,0_2,1,0.2630407561540436
00824-Dd4bFSTQ8gi,hovsg,5,aisle frame,0_0_23,0_0,2,0.25889972697188995
00824-Dd4bFSTQ8gi,hovsg,5,aisle frame,0_5_355,0_5,3,0.2570103622793897
00824-Dd4bFSTQ8gi,hovsg,5,aisle frame,0_5_354,0_5,4,0.2560039190730519
00824-Dd4bFSTQ8gi,hovsg,5,aisle frame,0_2_75,0_2,5,0.25428454956066243
00824-Dd4bFSTQ8gi,hovsg,6,alarm,0_0_55,0_0,1,0.2585777091031429
00824-Dd4bFSTQ8gi,hovsg,6,alarm,0_3_35,0_3,2,0.24858385914978381
00824-Dd4bFSTQ8gi,hovsg,6,alarm,0_5_88,0_5,3,0.23777908863166888
00824-Dd4bFSTQ8gi,hovsg,6,alarm,0_0_42,0_0,4,0.23677723032350592
00824-Dd4bFSTQ8gi,hovsg,6,alarm,0_1_68,0_1,5,0.23495765293128204
00824-Dd4bFSTQ8gi,hovsg,7,album,0_5_16,0_5,1,0.2734102431279631
00824-Dd4bFSTQ8gi,hovsg,7,album,0_2_164,0_2,2,0.2686917883535364
00824-Dd4bFSTQ8gi,hovsg,7,album,0_3_37,0_3,3,0.2640114079998459
00824-Dd4bFSTQ8gi,hovsg,7,album,0_3_3,0_3,4,0.2615799895079944
00824-Dd4bFSTQ8gi,hovsg,7,album,0_2_22,0_2,5,0.2585422402601348
00824-Dd4bFSTQ8gi,hovsg,8,amplifier,0_1_35,0_1,1,0.23792053368242264
