scene_id,method,class_id,class_label,object_id,predicted_room_id,rank,score
00829-QaLdnwvtxbs,hovsg,0,acoustic panel,0_3_305,0_3,1,0.30295554312670714
00829-QaLdnwvtxbs,hovsg,0,acoustic panel,0_3_348,0_3,2,0.29822808667608425
00829-QaLdnwvtxbs,hovsg,0,acoustic panel,0_3_210,0_3,3,0.2975675365413407
00829-QaLdnwvtxbs,hovsg,0,acoustic panel,0_3_216,0_3,4,0.2919706941066915
00829-QaLdnwvtxbs,hovsg,0,acoustic panel,0_4_92,0_4,5,0.2884403066595089
00829-QaLdnwvtxbs,hovsg,1,air conditioner,0_3_88,0_3,1,0.2545958995780146
00829-QaLdnwvtxbs,hovsg,1,air conditioner,0_4_22,0_4,2,0.25335947299124273
00829-QaLdnwvtxbs,hovsg,1,air conditioner,0_0_49,0_0,3,0.24831377181726766
00829-QaLdnwvtxbs,hovsg,1,air conditioner,0_3_87,0_3,4,0.23102466878884317
00829-QaLdnwvtxbs,hovsg,1,air conditioner,0_4_100,0_4,5,0.2203282891692835
00829-QaLdnwvtxbs,hovsg,2,air freshener,0_0_25,0_0,1,0.23236618162396558
00829-QaLdnwvtxbs,hovsg,2,air freshener,0_2_79,0_2,2,0.2289677127864526
00829-QaLdnwvtxbs,hovsg,2,air freshener,0_0_24,0_0,3,0.22726685278772712
00829-QaLdnwvtxbs,hovsg,2,air freshener,0_2_147,0_2,4,0.22027835275841307
00829-QaLdnwvtxbs,hovsg,2,air freshener,0_2_94,0_2,5,0.2182996073041346
00829-QaLdnwvtxbs,hovsg,3,air hockey,0_2_79,0_2,1,0.19917925647559026
00829-QaLdnwvtxbs,hovsg,4,air purifier,0_3_351,0_3,1,0.2650906830970469
00829-QaLdnwvtxbs,hovsg,4,air purifier,0_0_49,0_0,2,0.2613481887234423
00829-QaLdnwvtxbs,hovsg,4,air purifier,0_4_22,0_4,3,0.2588636726045957
00829-QaLdnwvtxbs,hovsg,4,air purifier,0_0_25,0_0,4,0.25568883266791853
00829-QaLdnwvtxbs,hovsg,4,air purifier,0_3_88,0_3,5,0.25534951081878987
00829-QaLdnwvtxbs,hovsg,5,aisle frame,0_2_171,0_2,1,0.28615044651821336
00829-QaLdnwvtxbs,hovsg,5,aisle frame,0_1_52,0_1,2,0.2777570021914958
00829-QaLdnwvtxbs,hovsg,5,aisle frame,0_1_45,0_1,3,0.2743480242956828
00829-QaLdnwvtxbs,hovsg,5,aisle frame,0_1_11,0_1,4,0.2685324628760429
00829-QaLdnwvtxbs,hovsg,5,aisle frame,0_3_290,0_3,5,0.2616601879628043
00829-QaLdnwvtxbs,hovsg,6,alarm,0_0_25,0_0,1,0.26411494930468615
00829-QaLdnwvtxbs,hovsg,6,alarm,0_3_354,0_3,2,0.24501943496150613
00829-QaLdnwvtxbs,hovsg,6,alarm,0_0_24,0_0,3,0.2376652592691999
00829-QaLdnwvtxbs,hovsg,6,alarm,0_0_45,0_0,4,0.23719364948250987
00829-QaLdnwvtxbs,hovsg,6,alarm,0_2_132,0_2,5,0.23629847948121874
00829-QaLdnwvtxbs,hovsg,7,album,0_1_36,0_1,1,0.26474577388865156
00829-QaLdnwvtxbs,hovsg,7,album,0_2_149,0_2,2,0.2624046898481388
00829-QaLdnwvtxbs,hovsg,7,album,0_2_148,0_2,3,0.2606105072045366
00829-QaLdnwvtxbs,hovsg,7,album,0_3_86,0_3,4,0.26048120308347167
00829-QaLdnwvtxbs,hovsg,7,album,0_1_31,0_1,5,0.2597337019658065
00829-QaLdnwvtxbs,hovsg,8,amplifier,0_3_311,0_3,1,0.2654418450159437
00829-QaLdnwvtxbs,hovsg,8,amplifier,0_3_317,0_3,2,0.25685963864126815
00829-QaLdnwvtxbs,hovsg,8,amplifier,0_3_203,0_3,3,0.2548176090316816
00829-QaLdnwvtxbs,hovsg,8,amplifier,0_3_158,0_3,4,0.2510829613849869
00829-QaLdnwvtxbs,hovsg,8,amplifier,0_3_130,0_3,5,0.2504885107843011
00829-QaLdnwvtxbs,hovsg,9,appliance,0_2_61,0_2,1,0.2707292905691399
00829-QaLdnwvtxbs,hovsg,9,appliance,0_3_145,0_3,2,0.26712194944966344
00829-QaLdnwvtxbs,hovsg,9,appliance,0_3_311,0_3,3,0.26330833898901695
00829-QaLdnwvtxbs,hovsg,9,appliance,0_2_122,0_2,4,0.2626690355532267
00829-QaLdnwvtxbs,hovsg,9,appliance,0_3_158,0_3,5,0.2606927871796873
00829-QaLdnwvtxbs,hovsg,10,apron,0_1_78,0_1,1,0.23695663256850785
00829-QaLdnwvtxbs,hovsg,10,apron,0_2_92,0_2,2,0.2341952085417523
00829-QaLdnwvtxbs,hovsg,10,apron,0_1_13,0_1,3,0.23280023006764916
00829-QaLdnwvtxbs,hovsg,10,apron,0_1_77,0_1,4,0.2319639319847377
00829-QaLdnwvtxbs,hovsg,10,apron,0_2_81,0_2,5,0.22804456837064432
00829-QaLdnwvtxbs,hovsg,11,aquarium,0_1_18,0_1,1,0.24619157794295823
00829-QaLdnwvtxbs,hovsg,11,aquarium,0_2_92,0_2,2,0.2196167278311766
00829-QaLdnwvtxbs,hovsg,11,aquarium,0_3_272,0_3,3,0.21570868788357822
00829-QaLdnwvtxbs,hovsg,11,aquarium,0_3_101,0_3,4,0.18968737683893933
00829-QaLdnwvtxbs,hovsg,12,arcade game,0_1_45,0_1,1,0.22349872646528313
00829-QaLdnwvtxbs,hovsg,12,arcade game,0_0_29,0_0,2,0.22024854217862277
00829-QaLdnwvtxbs,hovsg,12,arcade game,0_3_311,0_3,3,0.21861389436171197
00829-QaLdnwvtxbs,hovsg,12,arcade game,0_1_53,0_1,4,0.2148628072253697
00829-QaLdnwvtxbs,hovsg,12,arcade game,0_3_317,0_3,5,0.21430353942112276
00829-QaLdnwvtxbs,hovsg,13,artwork,0_3_207,0_3,1,0.29666414732504587
00829-QaLdnwvtxbs,hovsg,13,artwork,0_3_104,0_3,2,0.29620014077762447
00829-QaLdnwvtxbs,hovsg,13,artwork,0_3_343,0_3,3,0.2911302079913074
00829-QaLdnwvtxbs,hovsg,13,artwork,0_3_86,0_3,4,0.2851129474896954
00829-QaLdnwvtxbs,hovsg,13,artwork,0_4_57,0_4,5,0.2821032408367571
00829-QaLdnwvtxbs,hovsg,14,ashtray,0_2_92,0_2,1,0.2711583197781873
00829-QaLdnwvtxbs,hovsg,14,ashtray,0_3_35,0_3,2,0.2637117993309489
00829-QaLdnwvtxbs,hovsg,14,ashtray,0_3_101,0_3,3,0.2591995159132946
00829-QaLdnwvtxbs,hovsg,14,ashtray,0_2_79,0_2,4,0.25865471335241597
00829-QaLdnwvtxbs,hovsg,14,ashtray,0_0_29,0_0,5,0.25770355182160665
00829-QaLdnwvtxbs,hovsg,15,audio player,0_2_79,0_2,1,0.19984957739892656
00829-QaLdnwvtxbs,hovsg,16,axe,0_3_177,0_3,1,0.2749169712730545
00829-QaLdnwvtxbs,hovsg,16,axe,0_2_160,0_2,2,0.2733705257273972
00829-QaLdnwvtxbs,hovsg,16,axe,0_1_20,0_1,3,0.27306189434188755
00829-QaLdnwvtxbs,hovsg,16,axe,0_2_173,0_2,4,0.2671512902500443
00829-QaLdnwvtxbs,hovsg,16,axe,0_2_169,0_2,5,0.26631324658454636
00829-QaLdnwvtxbs,hovsg,17,baby changing table,0_2_158,0_2,1,0.2724025067994029
00829-QaLdnwvtxbs,hovsg,17,baby changing table,0_0_36,0_0,2,0.26135482824602
00829-QaLdnwvtxbs,hovsg,17,baby changing table,0_1_19,0_1,3,0.2611089107964925
00829-QaLdnwvtxbs,hovsg,17,baby changing table,0_1_102,0_1,4,0.2579481392009557
00829-QaLdnwvtxbs,hovsg,17,baby changing table,0_1_58,0_1,5,0.25742488915903416
00829-QaLdnwvtxbs,hovsg,18,backrest,0_3_12,0_3,1,0.30034588657242006
00829-QaLdnwvtxbs,hovsg,18,backrest,0_3_22,0_3,2,0.2799868050904355
00829-QaLdnwvtxbs,hovsg,18,backrest,0_3_17,0_3,3,0.2791723633210339
00829-QaLdnwvtxbs,hovsg,18,backrest,0_3_131,0_3,4,0.27557455363783556
00829-QaLdnwvtxbs,hovsg,18,backrest,0_3_168,0_3,5,0.27544203885746266
00829-QaLdnwvtxbs,hovsg,19,backsplash,0_4_14,0_4,1,0.2595174333957293
