scene_id,gt_object_id,gt_category,class_id,gt_room_id,predicted_room_id,gt_x,gt_y,gt_z,observed_in_walk,assigned
00843-DYehNKdT76V,3,artwork,13,1,1_1,-9.526524646518455,4.798531138943773,-1.8645189247453533,1,1
00843-DYehNKdT76V,4,light,282,1,1_1,-7.181296573454339,6.074075888167574,-1.0709178155615968,1,1
00843-DYehNKdT76V,5,light,282,1,1_1,-7.173315723545549,6.081243348368022,-2.332163205730783,1,1
00843-DYehNKdT76V,6,light,282,1,1_1,-7.161754012905059,6.0836927154303275,-4.2249093485054665,1,1
00843-DYehNKdT76V,8,extractor hood,178,1,1_3,-9.06890614395416,5.893607887687572,-3.40541582819395,1,1
00843-DYehNKdT76V,9,extractor hood,178,1,1_3,-8.127163150437106,5.882750007322181,-3.403404082180306,1,1
00843-DYehNKdT76V,14,curtain,133,1,1_1,-8.01572821798982,4.66624322506043,-0.42113409819127334,1,1
00843-DYehNKdT76V,16,bed,33,1,1_1,-8.36454154193988,3.7820127542997755,-1.9471488293419537,1,1
00843-DYehNKdT76V,17,pillow,337,1,1_1,-9.085779900791993,3.964768417840052,-1.5728154610893308,1,1
00843-DYehNKdT76V,18,pillow,337,1,1_1,-9.07096153115255,3.968511568952747,-2.2289132950867687,1,1
00843-DYehNKdT76V,19,nightstand,310,1,1_1,-9.223314495202956,3.5768619439860627,-3.046993111617611,1,1
00843-DYehNKdT76V,20,unknown,516,1,1_1,-9.182337873294362,3.6730461498112383,-2.9567698706420673,1,1
00843-DYehNKdT76V,21,nightstand,310,1,1_1,-9.211824242895805,3.5690959341260298,-0.740154745628421,1,1
00843-DYehNKdT76V,22,artwork,13,1,1_1,-9.411945045480214,3.7804550497265232,-0.5950878012460885,1,1
00843-DYehNKdT76V,23,light,282,1,1_1,-9.563298380816029,4.315721646956599,-2.8164379007710445,1,1
00843-DYehNKdT76V,24,light,282,1,1_1,-9.562497693654192,4.326866430321962,-0.8603418625887563,1,1
00843-DYehNKdT76V,30,toilet paper,487,2,1_3,-9.266807754805491,3.3970497457121795,-5.023941240256109,1,1
00843-DYehNKdT76V,31,toilet paper,487,2,1_3,-9.182544665828173,3.7839284206958133,-5.056392920329897,1,1
00843-DYehNKdT76V,32,toilet brush,485,2,1_3,-9.490390119486435,3.3611019647532347,-4.414948853173041,1,1
00843-DYehNKdT76V,33,toilet,484,2,1_3,-9.253089032595652,3.6964050353312294,-4.818218366333867,1,1
00843-DYehNKdT76V,34,cabinet,64,2,1_3,-9.154152966766263,3.9667507391197305,-5.554323407558909,1,1
00843-DYehNKdT76V,35,sink,420,2,1_3,-9.290701114973947,4.156231162940437,-5.61771782238555,1,1
00843-DYehNKdT76V,36,faucet,181,2,1_3,-9.442250875742983,4.283338022695777,-5.581178296102213,1,1
00843-DYehNKdT76V,37,soap,429,2,1_3,-9.400894225857362,4.276334679783175,-5.79728932197082,1,1
00843-DYehNKdT76V,38,mirror,302,2,1_3,-9.52536409896411,4.86764732567373,-5.612119353272231,1,1
00843-DYehNKdT76V,39,shower,412,2,1_3,-9.552127114673368,4.404769209950821,-3.8983780994812633,1,1
00843-DYehNKdT76V,40,faucet,181,2,1_3,-9.564858813223882,5.600557394491952,-3.7620277022190547,1,1
00843-DYehNKdT76V,42,hanger,245,2,1_3,-9.148288579606392,5.419056777374651,-6.102128910835356,1,1
00843-DYehNKdT76V,43,hanger,245,2,1_3,-9.258689234212449,5.4156810990898405,-6.102085769463371,1,1
00843-DYehNKdT76V,45,light,282,3,1_0,-1.841967096043051,6.090418425131038,-0.3142528982527173,1,1
00843-DYehNKdT76V,46,light,282,3,1_0,-1.852739738749361,6.093389642220439,-1.303017103910101,1,1
00843-DYehNKdT76V,47,light,282,3,1_0,-1.8575456427192016,6.088812329790529,-2.3017932186099803,1,1
00843-DYehNKdT76V,49,tv,510,3,1_5,-2.0711673742113743,4.977341855322248,-0.13417320760277376,1,1
00843-DYehNKdT76V,50,chair,97,3,1_0,-1.8847833406518584,3.713610623715885,0.185685946873617,1,1
00843-DYehNKdT76V,54,extractor hood,178,3,1_2,0.4102870662283167,5.935904228063069,-2.507800192675116,1,1
00843-DYehNKdT76V,55,extractor hood,178,3,,-0.5245690854321945,5.926949751940403,-2.5032312917014905,1,0
00843-DYehNKdT76V,56,bed,33,3,1_0,-0.27250709902668774,3.925782027561582,-1.5210528287460858,1,1
00843-DYehNKdT76V,57,nightstand,310,3,1_0,-1.1767741420100009,3.776732754980044,-2.1698045249342175,1,1
00843-DYehNKdT76V,58,phone,333,3,1_0,-1.0627823300622974,3.940680118401411,-2.353350904422028,1,1
00843-DYehNKdT76V,59,controller,123,3,1_0,-1.1551675421649674,3.875833430422108,-2.2211771363382757,1,1
00843-DYehNKdT76V,60,controller,123,3,1_0,-1.2194872944480613,3.882447317081928,-2.228769826328558,1,1
00843-DYehNKdT76V,61,controller,123,3,1_0,-1.2764555188451692,3.878449569885449,-2.222500321882009,1,1
