scene_id,method,class_id,class_label,object_id,predicted_room_id,rank,score
00843-DYehNKdT76V,hovsg,0,acoustic panel,1_2_95,1_2,1,0.31367597254634605
00843-DYehNKdT76V,hovsg,0,acoustic panel,1_0_39,1_0,2,0.3116428294706546
00843-DYehNKdT76V,hovsg,0,acoustic panel,1_0_31,1_0,3,0.30941582238081966
00843-DYehNKdT76V,hovsg,0,acoustic panel,1_2_92,1_2,4,0.30346667732515065
00843-DYehNKdT76V,hovsg,0,acoustic panel,1_4_23,1_4,5,0.29362545869509815
00843-DYehNKdT76V,hovsg,1,air conditioner,0_1_2,0_1,1,0.2881788830371095
00843-DYehNKdT76V,hovsg,1,air conditioner,1_2_93,1_2,2,0.28719886730419475
00843-DYehNKdT76V,hovsg,1,air conditioner,0_1_512,0_1,3,0.28563074954201284
00843-DYehNKdT76V,hovsg,1,air conditioner,1_2_91,1_2,4,0.2768275139324068
00843-DYehNKdT76V,hovsg,1,air conditioner,1_3_100,1_3,5,0.2767692756615667
00843-DYehNKdT76V,hovsg,2,air freshener,1_2_76,1_2,1,0.2605159795574011
00843-DYehNKdT76V,hovsg,2,air freshener,1_2_77,1_2,2,0.25361478777722235
00843-DYehNKdT76V,hovsg,2,air freshener,1_2_32,1_2,3,0.24790812651982821
00843-DYehNKdT76V,hovsg,2,air freshener,1_2_21,1_2,4,0.24496988906643558
00843-DYehNKdT76V,hovsg,2,air freshener,1_2_93,1_2,5,0.2373283819491627
00843-DYehNKdT76V,hovsg,3,air hockey,1_2_76,1_2,1,0.23498382697591805
00843-DYehNKdT76V,hovsg,3,air hockey,1_1_24,1_1,2,0.2266351527217611
00843-DYehNKdT76V,hovsg,3,air hockey,0_1_462,0_1,3,0.22565074539694574
00843-DYehNKdT76V,hovsg,3,air hockey,1_2_21,1_2,4,0.22352384252827132
00843-DYehNKdT76V,hovsg,4,air purifier,1_2_93,1_2,1,0.27777467287336316
00843-DYehNKdT76V,hovsg,4,air purifier,1_0_45,1_0,2,0.2680539956021532
00843-DYehNKdT76V,hovsg,4,air purifier,1_3_100,1_3,3,0.26776865062511257
00843-DYehNKdT76V,hovsg,4,air purifier,0_1_2,0_1,4,0.2662244996004898
00843-DYehNKdT76V,hovsg,4,air purifier,1_2_91,1_2,5,0.26462037540340905
00843-DYehNKdT76V,hovsg,5,aisle frame,1_3_102,1_3,1,0.2665737890731155
00843-DYehNKdT76V,hovsg,5,aisle frame,1_4_69,1_4,2,0.2619824441603481
00843-DYehNKdT76V,hovsg,5,aisle frame,1_2_32,1_2,3,0.26053486216825705
00843-DYehNKdT76V,hovsg,5,aisle frame,0_1_308,0_1,4,0.2505314232614644
00843-DYehNKdT76V,hovsg,5,aisle frame,1_3_5,1_3,5,0.25051270346556065
00843-DYehNKdT76V,hovsg,6,alarm,1_2_76,1_2,1,0.24882714578668458
00843-DYehNKdT76V,hovsg,6,alarm,1_2_21,1_2,2,0.24099750954353943
00843-DYehNKdT76V,hovsg,6,alarm,0_0_20,0_0,3,0.23079238919100092
00843-DYehNKdT76V,hovsg,6,alarm,1_0_15,1_0,4,0.22919147132019313
00843-DYehNKdT76V,hovsg,6,alarm,1_0_21,1_0,5,0.228123219768322
00843-DYehNKdT76V,hovsg,7,album,0_0_63,0_0,1,0.2649540337526052
00843-DYehNKdT76V,hovsg,7,album,0_0_89,0_0,2,0.2625367567278506
00843-DYehNKdT76V,hovsg,7,album,1_2_76,1_2,3,0.2616025849380349
00843-DYehNKdT76V,hovsg,7,album,0_1_421,0_1,4,0.2610835129166871
00843-DYehNKdT76V,hovsg,7,album,0_0_222,0_0,5,0.26104082646719795
00843-DYehNKdT76V,hovsg,8,amplifier,0_0_62,0_0,1,0.2612482344421788
00843-DYehNKdT76V,hovsg,8,amplifier,0_1_50,0_1,2,0.2566833038179998
00843-DYehNKdT76V,hovsg,8,amplifier,0_1_94,0_1,3,0.25657485998206064
00843-DYehNKdT76V,hovsg,8,amplifier,0_1_466,0_1,4,0.2550226962170761
00843-DYehNKdT76V,hovsg,8,amplifier,0_0_111,0_0,5,0.25229390490394604
00843-DYehNKdT76V,hovsg,9,appliance,0_0_62,0_0,1,0.2989481236166747
00843-DYehNKdT76V,hovsg,9,appliance,0_0_86,0_0,2,0.2963786023632059
00843-DYehNKdT76V,hovsg,9,appliance,0_0_142,0_0,3,0.2932862523084377
00843-DYehNKdT76V,hovsg,9,appliance,0_0_127,0_0,4,0.29320608776424817
00843-DYehNKdT76V,hovsg,9,appliance,0_0_144,0_0,5,0.2920300711108123
00843-DYehNKdT76V,hovsg,10,apron,0_0_206,0_0,1,0.23646559307480772
00843-DYehNKdT76V,hovsg,10,apron,0_1_540,0_1,2,0.2355583663497654
00843-DYehNKdT76V,hovsg,10,apron,0_0_37,0_0,3,0.23024329060096255
00843-DYehNKdT76V,hovsg,10,apron,0_1_462,0_1,4,0.22254608117337404
00843-DYehNKdT76V,hovsg,10,apron,0_0_138,0_0,5,0.22118628602094592
00843-DYehNKdT76V,hovsg,11,aquarium,1_2_76,1_2,1,0.249990192676059
00843-DYehNKdT76V,hovsg,11,aquarium,1_5_2,1_5,2,0.23989882678424554
00843-DYehNKdT76V,hovsg,11,aquarium,0_0_40,0_0,3,0.23860265094574967
00843-DYehNKdT76V,hovsg,11,aquarium,1_2_21,1_2,4,0.23396582593991555
00843-DYehNKdT76V,hovsg,11,aquarium,0_0_13,0_0,5,0.23177197570754227
00843-DYehNKdT76V,hovsg,12,arcade game,1_1_22,1_1,1,0.18535634726817635
00843-DYehNKdT76V,hovsg,13,artwork,0_1_137,0_1,1,0.28158797054953655
00843-DYehNKdT76V,hovsg,13,artwork,0_1_38,0_1,2,0.27309000873499634
00843-DYehNKdT76V,hovsg,13,artwork,0_1_0,0_1,3,0.27222660504110757
00843-DYehNKdT76V,hovsg,13,artwork,0_1_155,0_1,4,0.26883051926827883
00843-DYehNKdT76V,hovsg,13,artwork,0_1_133,0_1,5,0.2665399278915257
00843-DYehNKdT76V,hovsg,14,ashtray,0_0_34,0_0,1,0.2682792891205866
00843-DYehNKdT76V,hovsg,14,ashtray,0_1_208,0_1,2,0.26812178733878106
00843-DYehNKdT76V,hovsg,14,ashtray,0_0_111,0_0,3,0.268015402543173
00843-DYehNKdT76V,hovsg,14,ashtray,0_0_23,0_0,4,0.2674177342245489
00843-DYehNKdT76V,hovsg,14,ashtray,0_1_68,0_1,5,0.2673467679043678
00843-DYehNKdT76V,hovsg,15,audio player,1_0_45,1_0,1,0.25261488291702444
00843-DYehNKdT76V,hovsg,15,audio player,1_2_1,1_2,2,0.2235220050142644
00843-DYehNKdT76V,hovsg,15,audio player,0_0_9,0_0,3,0.22332288545825701
00843-DYehNKdT76V,hovsg,15,audio player,1_2_76,1_2,4,0.22286626405311336
00843-DYehNKdT76V,hovsg,15,audio player,1_3_5,1_3,5,0.22121929902193194
00843-DYehNKdT76V,hovsg,16,axe,1_2_3,1_2,1,0.28250094786381663
00843-DYehNKdT76V,hovsg,16,axe,1_3_53,1_3,2,0.27844539321258716
00843-DYehNKdT76V,hovsg,16,axe,0_0_160,0_0,3,0.2757019780819285
00843-DYehNKdT76V,hovsg,16,axe,0_1_58,0_1,4,0.27139440007055904
00843-DYehNKdT76V,hovsg,16,axe,0_0_169,0_0,5,0.26901811243646234
00843-DYehNKdT76V,hovsg,17,baby changing table,1_2_28,1_2,1,0.2804213263109879
00843-DYehNKdT76V,hovsg,17,baby changing table,1_2_24,1_2,2,0.2802405432720897
00843-DYehNKdT76V,hovsg,17,baby changing table,1_2_14,1_2,3,0.2799958699408582
00843-DYehNKdT76V,hovsg,17,baby changing table,1_2_81,1_2,4,0.270405237181632
00843-DYehNKdT76V,hovsg,17,baby changing table,1_2_21,1_2,5,0.25094791802282224
