scene_id,method,class_id,class_label,object_id,predicted_room_id,rank,score,p_det,p_view,p_mem,p_sem_q
00847-bCPU9suPUw9,belief,0,acoustic panel,1_3_44,1_3,1,0.09595206186918866,0.9286823445733787,0.9734894179875023,0.9975566889432098,0.10639428548468273
00847-bCPU9suPUw9,belief,0,acoustic panel,1_3_88,1_3,2,0.06173354065019805,0.9501790938236785,0.9119802181500164,0.9971872945033347,0.07144199291298589
00847-bCPU9suPUw9,belief,0,acoustic panel,0_0_139,0_0,3,0.0586495760679966,0.9774993402545592,0.9139152047112395,0.993184630694904,0.06610168211921373
00847-bCPU9suPUw9,belief,0,acoustic panel,0_2_92,0_2,4,0.05665369720892943,0.9739298569933931,0.9438623585887784,0.9959729586191018,0.061879153415140456
00847-bCPU9suPUw9,belief,0,acoustic panel,1_3_0,1_3,5,0.055739364179833634,0.9857407004950506,0.9440928208298764,0.9981780690199219,0.06000350268126515
00847-bCPU9suPUw9,belief,1,air conditioner,0_0_263,0_0,1,0.01704725296463007,0.9835454449057579,0.9391737106233526,0.9922842370153234,0.018598501523717607
00847-bCPU9suPUw9,belief,1,air conditioner,1_4_344,1_4,2,0.015867327496683802,0.9906168899021831,0.940895210350209,0.9992666084815178,0.017036305687414863
00847-bCPU9suPUw9,belief,1,air conditioner,1_4_128,1_4,3,0.014774818396175582,0.958572108334252,0.9467406144540962,0.999380188669392,0.016290545193409965
00847-bCPU9suPUw9,belief,1,air conditioner,0_0_47,0_0,4,0.008273647080178304,0.9574161092083963,0.900891200723434,0.9980569326734499,0.00961100051411352
00847-bCPU9suPUw9,belief,1,air conditioner,0_2_128,0_2,5,0.007826843531916485,0.9646437466144562,0.9485383028990915,0.9982302057660609,0.008569078444507133
00847-bCPU9suPUw9,belief,2,air freshener,0_0_133,0_0,1,0.0022841454990955032,0.9739733717502285,0.9213976511405337,0.9878747257834515,0.0025764855204742985
00847-bCPU9suPUw9,belief,2,air freshener,0_0_47,0_0,2,0.0020334329778465346,0.9574161092083963,0.900891200723434,0.9980569326734499,0.002362117359624827
00847-bCPU9suPUw9,belief,2,air freshener,0_2_30,0_2,3,0.0019975447151314397,0.9504582919290898,0.9635658303955671,0.8741924031768115,0.002495025720482033
00847-bCPU9suPUw9,belief,2,air freshener,1_4_148,1_4,4,0.0019850881392539516,0.99217376965109,0.9704388242885794,0.9806729473606345,0.0021023242269101266
00847-bCPU9suPUw9,belief,2,air freshener,1_1_12,1_1,5,0.0018485548723819625,0.9894747713504456,0.9397623336545973,0.9806563237277454,0.002027182058192273
00847-bCPU9suPUw9,belief,3,air hockey,0_2_334,0_2,1,0.0004286463191573573,0.9779093171374452,0.8756535143380724,0.9947132530964056,0.0005032343937479572
00847-bCPU9suPUw9,belief,3,air hockey,0_2_344,0_2,2,0.0003821345334622531,0.9831692946947892,0.935806658126767,0.9958628752489073,0.0004170636181321473
00847-bCPU9suPUw9,belief,3,air hockey,0_2_343,0_2,3,0.00037136316224279324,0.9941945066531863,0.9420015878921808,0.9960420072257069,0.0003981054952595994
00847-bCPU9suPUw9,belief,3,air hockey,0_2_356,0_2,4,0.0003210122313411414,0.9912759536506177,0.9318051146987519,0.9954740954872141,0.0003491177709600222
