class_label;count
acoustic panel;12
air conditioner;128
air freshener;9
air hockey;1
air purifier;1
aisle frame;2
alarm;138
album;11
amplifier;41
appliance;303
apron;1
aquarium;5
arcade game;9
artwork;5984
ashtray;2
audio player;80
axe;2
baby changing table;6
backrest;11
backsplash;2
bag;932
ball;47
ball pool;1
bar;58
barbecue;11
barrel;5
base;1
baseball bat;2
basket;803
basketball hoop;1
basketballs;1
bathroom accessory;428
bathtub;253
bed;781
bed ladder;1
beer crate;2
bell;2
belt;2
bench;147
beverage dispenser;2
bicycle;27
bicycle helmet;2
bin;613
birdhouse;1
blanket;445
board;241
board game;42
board with keys;1
book;2489
bottle;457
bottle dispenser;1
bottle opener;1
bowl;220
box;3772
boxing ring;1
bread;1
bread box;4
bricks;2
bridge;1
broom;76
brush;45
bucket;154
buffet;1
button;10
cabinet;5020
cable;46
cage;3
cake;1
calculator;7
calendar;51
camera;33
can;230
canal;1
candelabra;2
candle;297
candle holder;54
candle stand;1
candlestick;27
canoe;1
canopy;3
car;6
card;1
cardboard;15
cart;17
cash register;5
casket;32
cassette;4
cat;3
cat food;2
cat litter box;2
cat tree;1
cd;9
ceiling arch;12
ceiling chassis;1
ceiling ladder;1
ceramics;4
chain;1
chair;3658
chair stand;1
chassis;2
chest;87
child car seat;1
christmas tree;3
clarinet;5
cleaner;191
clock;343
closet door;62
cloth;193
cloth holder;1
clothes;1101
clothes container;11
clothes dryer;33
clothes rack;80
clutter;354
coaster;2
coffee maker;144
coffee table;162
compressor;2
computer;120
computer equipment;202
cone;2
construction stuff;1
container;520
controller;89
cosmetics;331
counter door;6
countertop;396
countertop item;169
cover;23
cross;6
crutches;1
cup;249
curb;3
curtain;2077
cushion;421
cutlery;40
cyp;1
dartboard;7
decoder;9
decoration;2946
dehumidifier;5
den;1
desk;381
desk door;1
dinnerware;378
diploma;16
dirt ground;5
dish rack;4
dishwasher;138
dispenser;2
display case;67
document;896
document holder;4
dog leash;2
dog toy;1
doily;2
doll;20
door screen;1
drawer;876
drawer cart;1
dressing table;8
drill;2
drum;29
dustpan;4
dvd;23
easel;6
electric hub;2
electric wire casing;6
electrical box;125
electrical device;429
electrical installation;4
elevator;11
exercise ball;22
exercise bike;14
exercise equipment;109
exercise ladder;1
exercise mat;20
exhibition panel;6
extractor hood;162
eyeglasses;2
fan;306
faucet;938
fire extinguisher;54
fireplace;158
fireplace tool set;25
firewood;29
fishing rod;4
flag;16
flashlight;2
floor stand;4
flower stand;21
flowerbed;2
flush;4
flush button;4
flush push;1
foam;1
folding stand;1
food;64
food processor;11
food stand;1
foosball table;4
foot spa;1
football;3
footstool;154
frame;364
fruit;69
fume cupboard;2
fur;2
furnace;60
furniture;26
game;3
game console;6
gap;2
garage door motor;14
