original_class_label,canonical_label,recommendation,justification,Unnamed: 4
acoustic panel,acoustic panel,,,
advertisement,sign,,,
air conditioner,air conditioner,,,
air conditioning,air conditioner,apply,Phrase/nominalization variant for the same appliance.,
air freshener,air freshener,,,
air heater,heater,,,
air hockey,air hockey,,,
air purifier,air purifier,,,
air refresher,air freshener,apply,Same general appliance, wording/power-source modifier is non-essential.
air vent fan,air vent,,,
aisle frame,aisle frame,,,
alarm,alarm,,,
alarm clock,clock,,,
alarm control,alarm controller,apply,Equivalent wording for the same control device.,
alarm controller,controller,,,
album,album,,,
albums,album,apply,Plurality/quantity does not change the object class.,
alcohol bottles,bottle,,,
american flag,flag,apply,Country modifier is non-essential to the general flag class.,
amplifier,amplifier,,,
antique clock,clock,apply,Style/mounting-location modifiers are non-essential, functional clock subtypes are kept separate.
antique telephone,phone,,,
antlers,trophy,,,
apple,fruit,,,
appliance,appliance,,,
apron,apron,,,
aquarium,aquarium,,,
arcade,arcade game,,,
arcade game,arcade game,,,
armchair,chair,,,
art frame,frame,apply,Content/style modifiers, all denote a general frame object. Specialized mirror/screen/shower frames remain distinct.
art piece,artwork,,,
art/clutter,clutter,,,
art/muscle shell,sculpture,,,
art/statue,sculpture,,,
artwork,artwork,,,
artwork frame,frame,apply,Content/style modifiers, all denote a general frame object. Specialized mirror/screen/shower frames remain distinct.
ashtray,ashtray,,,
audio cable,cable,,,
audio cables,audio cable,apply,Singular/plural normalization.,
audio player,audio player,,,
axe,axe,,,
baby chair,chair,,,
baby changing station,baby changing table,,,
baby changing table,baby changing table,,,
baby seat,chair,,,
backpack,bag,,,
backrest,backrest,,,
backsplash,backsplash,,,
bag,bag,,,
bag with sheets,bag,,,
bag with something,bag,,,
bags,bag,apply,"Plurality, size, material, or quantity is non-essential to the general bag class.",
ball,ball,,,
ball chair,chair,,,
ball pool,ball pool,,,
ball pouffe,footstool,,,
banner,sign,,,
bar,bar,,,
bar cabinet,cabinet,,,
bar chair,chair,,,
bar soap,soap,apply,Form/use modifiers are non-essential to the general soap class.,
barbecue,barbecue,,,
barbell,weight,,,
barrel,barrel,,,
base,base,,,
baseball bat,baseball bat,,,
baseball cap,hat,,,
basin,sink,,,
basin faucet,faucet,apply,Tap/faucet synonyms with location modifiers, same general water-control fixture.
basket,basket,,,
basket of fruits,fruit,,,
basket of something,basket,,,
basket of towels,basket,,,
basket with books,basket,,,
basket with clothes,basket,,,
basketball hoop,basketball hoop,,,
basketballs,basketballs,,,
baskets,basket,apply,Singular/plural normalization.,
bath,bathtub,,,
bath bar,bath curtain,,,
bath cabinet,bathroom cabinet,apply,Equivalent room/location wording for the same cabinet subtype.,
bath carpet,carpet,apply,"Location, material, and rolled-state modifiers are non-essential to the general carpet class.",
bath cosmetics,cosmetics,apply,"Singular/plural, quantity, and location modifiers; same general cosmetics class.",
bath curtain,curtain,,,
bath curtain bar,bath curtain,,,
bath dial,bathtub,,,
bath faucet,faucet,apply,Tap/faucet synonyms with location modifiers, same general water-control fixture.
bath grab bar,grab bar,,,
bath hanger,hanger,,,
bath mat,rug,,,
bath shelf,shelf,apply,Height/location modifiers are non-essential to the general shelf class, function/content-specific shelves remain separate.
bath shower,shower,,,
bath side table,side table,,,
bath sink,sink,apply,Room/shape wording and common synonym, same general sink/washbasin fixture.
bath tap,faucet,apply,Tap/faucet synonyms with location modifiers, same general water-control fixture.
bath towel,towel,apply,"Plurality, quantity, and location/use modifiers are non-essential to the general towel class; paper towels remain separate.",
bath towels,towel,apply,"Plurality, quantity, and location/use modifiers are non-essential to the general towel class; paper towels remain separate.",
bath tub,bathtub,apply,Spacing and location/style modifier, same general bathtub object.
bath utensil,bathroom utensil,apply,Room/location wording variants for the same generic bathroom-utensil label.,
bathmat,bath mat,apply,Spacing/location wording variants for the same bath mat class.,
bathrobe,clothes,,,
bathroom accessory,bathroom accessory,,,
bathroom art,artwork,,,
bathroom cabinet,cabinet,,,
bathroom cabinet door,cabinet door,apply,Parent-room/location modifier does not change the cabinet-door class.,
bathroom cabinet drawer,cabinet drawer,apply,Parent-room/location modifier does not change the cabinet-drawer class.,
bathroom counter,countertop,,,
bathroom glass,bathroom accessory,,,
bathroom mat,bath mat,apply,Spacing/location wording variants for the same bath mat class.,
bathroom rug,rug,,,
bathroom shelf,shelf,apply,Height/location modifiers are non-essential to the general shelf class, function/content-specific shelves remain separate.
bathroom stuff,bathroom utensil,,,
bathroom towel,towel,apply,"Plurality, quantity, and location/use modifiers are non-essential to the general towel class; paper towels remain separate.",
bathroom utensil,bathroom accessory,,,
bathroom utensils,bathroom utensil,apply,Room/location wording variants for the same generic bathroom-utensil label.,
bathtub,bathtub,,,
bathtub knob,bathtub,,,
bathtub platform,bathtub,,,
bathtub tap,faucet,apply,Tap/faucet synonyms with location modifiers, same general water-control fixture.
bathtub utensil,bathroom utensil,apply,Room/location wording variants for the same generic bathroom-utensil label.,
